id,name,slug,city,state,category,subcategory,address,phone,website,email,description,whatsapp_number,latitude,longitude,claimed,verified,created_at,google_maps_url,instagram_url,facebook_url,rating,review_count,featured
10000,HCL Dhaba,ahmedabad-hcl-dhaba,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 1, Ground Floor, Galleria Mall, Sector 1, Ahmedabad, Gujarat - 380000",+919800000000,https://hcldhaba.in,info@hcldhaba.in,"About HCL Dhaba: A premier choice for restaurant needs located in Ahmedabad. HCL Learning, a wholly owned subsidiary of HCL Infosystems, offers education and training content to schools, colleges, individuals and enterprises. Flagship product DigiSchool is a classroom learning solution with interactive content for K-12. Provides customized content repository that caters to the students’ learning needs. Content is designed and developed by HCL Learning Development Centre, certified by Department of Scientific and Industrial Research. Also offers vocational trainings in the field of IT and ITES. As of June 2015, claims to be catering to 3,500 schools and 3.5M+ students.",+919800000000,23.0075,72.5564,true,true,2026-06-15T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0075,72.5564",https://instagram.com/hcldhaba,https://facebook.com/hcldhaba,3.7,8700,true
10001,Bharti Airtel,ahmedabad-bharti-airtel,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 2, Ground Floor, Galleria Mall, Sector 2, Ahmedabad, Gujarat - 380015",+919800000001,https://bhartiairtel.in,info@bhartiairtel.in,"About Bharti Airtel: A premier choice for restaurant needs located in Ahmedabad. Bharti Airtel is a leading alternative provider of telecommunications services in India and among the top ten global carriers offering services in about 20 other countries, particularly in Africa. Through subsidiaries, the company operates three business units: Telemedia Services (broadband and telephone), Enterprise Services, and Mobile Services. The Enterprise Services group aids both long-distance carriers and corporate clients. Bharti Airtel has more than 220 million mainly mobile subscribers. It provides digital television service for 5 million in India. The company is a unit of Bharti Enterprises, a conglomerate with interests in financial services, food, and retail, besides telecom.",+919800000001,23.0087,72.5576,false,false,2026-06-14T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0087,72.5576",https://instagram.com/bhartiairtel,https://facebook.com/bhartiairtel,4.2,5500,false
10002,Indian Army,ahmedabad-indian-army,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 3, Ground Floor, Galleria Mall, Sector 3, Ahmedabad, Gujarat - 380030",+919800000002,https://indianarmy.in,info@indianarmy.in,"About Indian Army: A premier choice for restaurant needs located in Ahmedabad. The principal task of the Ministry is to frame policy directions on defence and security related matters and communicate them for implementation to the Services Headquarters, Inter-Service Organisations, Production Establishments and Research & Development Organisations. It is required to ensure effective implementation of the Government's policy directions and the execution of approved programmes within the allocated resources.",+919800000002,23.009900000000002,72.55879999999999,false,false,2026-06-13T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.009900000000002,72.55879999999999",https://instagram.com/indianarmy,https://facebook.com/indianarmy,4.7,3400,false
10003,Ericsson Kitchen,ahmedabad-ericsson-kitchen,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 4, Ground Floor, Galleria Mall, Sector 4, Ahmedabad, Gujarat - 380045",+919800000003,https://ericssonkitchen.in,info@ericssonkitchen.in,"About Ericsson Kitchen: A premier choice for restaurant needs located in Ahmedabad. Ericsson is one of the leading providers of Information and Communication Technology (ICT) to service providers. We enable the full value of connectivity by creating game-changing technology and services that are easy to use, adopt, and scale, making our customers successful in a fully connected world.",+919800000003,23.0111,72.56,false,true,2026-06-12T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0111,72.56",https://instagram.com/ericssonkitchen,https://facebook.com/ericssonkitchen,4.1,3100,false
10004,Intelenet Service...,ahmedabad-intelenet-service,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 5, Ground Floor, Galleria Mall, Sector 5, Ahmedabad, Gujarat - 380060",+919800000004,https://intelenetservice.in,info@intelenetservice.in,"About Intelenet Service...: A premier choice for restaurant needs located in Ahmedabad. Intelenet® is a large global Business Process Outsourcing player, committed to delivering our client’s strategic goals and helping in enhancing, broadening, and deepening the relationship to add value. Backed by The Blackstone Group, a leading Global Private Equity player, with a current portfolio of clients that includes Fortune 500 companies, we are a 55,000 people organization spread across 70 global delivery centers across North & Central America, UK, Europe, Asia Pacific and the Middle East; supporting 110+ clients in over 50 languages.",+919800000004,23.0123,72.5612,true,false,2026-06-11T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0123,72.5612",https://instagram.com/intelenetservice,https://facebook.com/intelenetservice,3.7,2900,false
10005,Reliance Retail,ahmedabad-reliance-retail,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 6, Ground Floor, Galleria Mall, Sector 1, Ahmedabad, Gujarat - 380075",+919800000005,https://relianceretail.in,info@relianceretail.in,"About Reliance Retail: A premier choice for restaurant needs located in Ahmedabad. Reliance Retail is the retail initiative of the group and is central to our consumer-facing businesses. It has in a short time forged strong and enduring bonds with millions of consumers by providing them an unlimited choice, outstanding value proposition, superior quality and unmatched experience across all its stores. Reliance Retail has adopted a multi-prong strategy and operates a chain of neighborhood stores, supermarkets, wholesale cash & carry stores, specialty stores, and online stores and has democratized access to a variety of products and services across diverse segments for Indian consumers. Serving the food and grocery category Reliance and more.",+919800000005,23.0135,72.5624,false,false,2026-06-10T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0135,72.5624",https://instagram.com/relianceretail,https://facebook.com/relianceretail,4.2,2800,false
10006,Future Flavours,ahmedabad-future-flavours,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 7, Ground Floor, Galleria Mall, Sector 2, Ahmedabad, Gujarat - 380090",+919800000006,https://futureflavours.in,info@futureflavours.in,"About Future Flavours: A premier choice for restaurant needs located in Ahmedabad. Rewrite Rules, Retain Values – this simple idea has been at the core of our business since the inception of Future Group. Today, a wide portfolio of brands in food, FMCG and fashion, complement the country’s pioneering modern retail networks. More than 600 million customer visits are recorded across the 2,000 Future Group retail stores, covering over 24 million square feet of space in over 400 cities and towns. Millions more interact with group’s brands and businesses through ecommerce sites, social media and mobile apps like FuturePay and EasyDay Club. In fashion, our manufacturing facilities produce garments designed and more.",+919800000006,23.0147,72.5636,false,true,2026-06-09T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0147,72.5636",https://instagram.com/futureflavours,https://facebook.com/futureflavours,4.2,2400,true
10007,Yes Bank,ahmedabad-yes-bank,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 8, Ground Floor, Galleria Mall, Sector 3, Ahmedabad, Gujarat - 380105",+919800000007,https://yesbank.in,info@yesbank.in,"About Yes Bank: A premier choice for restaurant needs located in Ahmedabad. YES BANK, India’s fourth largest private sector bank is a high quality, customer centric and service driven Bank. Since inception in 2004, YES BANK has grown into a ‘Full Service Commercial Bank’ providing a complete range of products, services and technology driven digital offerings, catering to corporate, MSME & retail customers. YES BANK operates its Investment banking, Merchant banking & Brokerage businesses through YES SECURITIES and its Mutual Fund business through YES Asset Management (India) Limited, both wholly owned subsidiaries of the Bank. Headquartered in Mumbai, it has a pan-India presence across all 28 states and 9 Union and more.",+919800000007,23.015900000000002,72.56479999999999,false,false,2026-06-08T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.015900000000002,72.56479999999999",https://instagram.com/yesbank,https://facebook.com/yesbank,3.8,2300,false
10008,HDFC LIFE,ahmedabad-hdfc-life,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 9, Ground Floor, Galleria Mall, Sector 4, Ahmedabad, Gujarat - 380120",+919800000008,https://hdfclife.in,info@hdfclife.in,"About HDFC LIFE: A premier choice for restaurant needs located in Ahmedabad. HDFC Life Insurance Company Limited (Formerly HDFC Standard Life Insurance Company Limited) ('HDFC Life' / ‘Company’) is a joint venture between HDFC Ltd., one of India’s leading housing finance institution and Standard Life Aberdeen, a global investment company. Established in 2000, HDFC Life is a leading long-term life insurance solutions provider in India, offering a range of individual and group insurance solutions that meet various customer needs such as Protection, Pension, Savings, Investment and Health. As on March 31, 2019 the Company had 38 individual and 11 group products in its portfolio, along with 8 optional rider benefits, and more.",+919800000008,23.0171,72.566,true,false,2026-06-07T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0171,72.566",https://instagram.com/hdfclife,https://facebook.com/hdfclife,4.0,2100,false
10009,Hindustan Unilever,ahmedabad-hindustan-unilever,Ahmedabad,Gujarat,Restaurant,Premium Restaurant,"Shop No. 10, Ground Floor, Galleria Mall, Sector 5, Ahmedabad, Gujarat - 380135",+919800000009,https://hindustanunilever.in,info@hindustanunilever.in,"About Hindustan Unilever: A premier choice for restaurant needs located in Ahmedabad. We make products that people love – and that make a difference. Nutritious foods. Household care essentials. Indulgent ice creams. Refreshing teas. Luxurious shampoos. Affordable, disease-combating soaps... and many more. In fact, we make around 400 much-loved brands. Shoppers buy them in more than 190 countries. That means you’ll find at least one of our products in seven out of ten households on the planet. And we want every one of those products to make a positive impact on the lives of the people who buy them.",+919800000009,23.0183,72.5672,false,true,2026-06-06T10:00:00Z,"https://www.google.com/maps/search/?api=1&query=23.0183,72.5672",https://instagram.com/hindustanunilever,https://facebook.com/hindustanunilever,4.4,2000,false
